nohup: 忽略输入
Start loading the data....
  - Found cached train data
  - Found cached valid data
  - Found cached test data
Finish loading the data....
406523
Epoch  1 | Batch  30/1016 | Time/Batch(ms) 146.17 | Train Loss 0.8488 | lr  0.001
Epoch  1 | Batch  60/1016 | Time/Batch(ms) 130.39 | Train Loss 0.8023 | lr  0.001
Epoch  1 | Batch  90/1016 | Time/Batch(ms) 138.69 | Train Loss 0.7980 | lr  0.001
Epoch  1 | Batch 120/1016 | Time/Batch(ms) 135.98 | Train Loss 0.8286 | lr  0.001
Epoch  1 | Batch 150/1016 | Time/Batch(ms) 134.65 | Train Loss 0.8233 | lr  0.001
Epoch  1 | Batch 180/1016 | Time/Batch(ms) 144.40 | Train Loss 0.8228 | lr  0.001
Epoch  1 | Batch 210/1016 | Time/Batch(ms) 139.40 | Train Loss 0.8288 | lr  0.001
Epoch  1 | Batch 240/1016 | Time/Batch(ms) 141.45 | Train Loss 0.8316 | lr  0.001
Epoch  1 | Batch 270/1016 | Time/Batch(ms) 134.07 | Train Loss 0.8647 | lr  0.001
Epoch  1 | Batch 300/1016 | Time/Batch(ms) 136.16 | Train Loss 0.8308 | lr  0.001
Epoch  1 | Batch 330/1016 | Time/Batch(ms) 136.46 | Train Loss 0.8807 | lr  0.001
Epoch  1 | Batch 360/1016 | Time/Batch(ms) 131.87 | Train Loss 0.7786 | lr  0.001
Epoch  1 | Batch 390/1016 | Time/Batch(ms) 126.82 | Train Loss 0.8658 | lr  0.001
Epoch  1 | Batch 420/1016 | Time/Batch(ms) 129.80 | Train Loss 0.8581 | lr  0.001
Epoch  1 | Batch 450/1016 | Time/Batch(ms) 131.94 | Train Loss 0.8338 | lr  0.001
Epoch  1 | Batch 480/1016 | Time/Batch(ms) 131.32 | Train Loss 0.8367 | lr  0.001
Epoch  1 | Batch 510/1016 | Time/Batch(ms) 132.94 | Train Loss 0.8166 | lr  0.001
Epoch  1 | Batch 540/1016 | Time/Batch(ms) 134.92 | Train Loss 0.8004 | lr  0.001
Epoch  1 | Batch 570/1016 | Time/Batch(ms) 133.12 | Train Loss 0.8470 | lr  0.001
Epoch  1 | Batch 600/1016 | Time/Batch(ms) 133.37 | Train Loss 0.7758 | lr  0.001
Epoch  1 | Batch 630/1016 | Time/Batch(ms) 141.98 | Train Loss 0.8007 | lr  0.001
Epoch  1 | Batch 660/1016 | Time/Batch(ms) 142.23 | Train Loss 0.8130 | lr  0.001
Epoch  1 | Batch 690/1016 | Time/Batch(ms) 141.24 | Train Loss 0.8241 | lr  0.001
Epoch  1 | Batch 720/1016 | Time/Batch(ms) 135.09 | Train Loss 0.8139 | lr  0.001
Epoch  1 | Batch 750/1016 | Time/Batch(ms) 127.45 | Train Loss 0.7921 | lr  0.001
Epoch  1 | Batch 780/1016 | Time/Batch(ms) 126.32 | Train Loss 0.8120 | lr  0.001
Epoch  1 | Batch 810/1016 | Time/Batch(ms) 143.95 | Train Loss 0.8309 | lr  0.001
Epoch  1 | Batch 840/1016 | Time/Batch(ms) 129.85 | Train Loss 0.8078 | lr  0.001
Epoch  1 | Batch 870/1016 | Time/Batch(ms) 131.16 | Train Loss 0.8528 | lr  0.001
Epoch  1 | Batch 900/1016 | Time/Batch(ms) 131.18 | Train Loss 0.8214 | lr  0.001
Epoch  1 | Batch 930/1016 | Time/Batch(ms) 140.57 | Train Loss 0.7620 | lr  0.001
Epoch  1 | Batch 960/1016 | Time/Batch(ms) 133.18 | Train Loss 0.7903 | lr  0.001
Epoch  1 | Batch 990/1016 | Time/Batch(ms) 135.06 | Train Loss 0.8200 | lr  0.001
--------------------------------------------------
Epoch  1 | Time 153.3290 sec | Valid Loss 0.7461 | Test Loss 0.8117 | f1 0.4997491544297546 | acc 0.6325966850828729 | mae 0.8117406964302063 | corr 0.20216703193352292 | mult_a7 0.41761791944863236 | mult_a5 0.41761791944863236 | mult_a2 0.6426879172948524
--------------------------------------------------
Epoch  2 | Batch  30/1016 | Time/Batch(ms) 136.10 | Train Loss 0.7698 | lr  0.001
