nohup: 忽略输入
Start loading the data....
  - Found cached train data
  - Found cached valid data
  - Found cached test data
Finish loading the data....
### Note: You are running in unaligned mode.
406523
Epoch  1 | Batch  30/1020 | Time/Batch(ms) 236.91 | Train Loss 0.8477 | lr  0.001
Epoch  1 | Batch  60/1020 | Time/Batch(ms) 231.84 | Train Loss 0.8558 | lr  0.001
Epoch  1 | Batch  90/1020 | Time/Batch(ms) 231.14 | Train Loss 0.8577 | lr  0.001
Epoch  1 | Batch 120/1020 | Time/Batch(ms) 231.37 | Train Loss 0.8418 | lr  0.001
Epoch  1 | Batch 150/1020 | Time/Batch(ms) 232.40 | Train Loss 0.9026 | lr  0.001
Epoch  1 | Batch 180/1020 | Time/Batch(ms) 226.92 | Train Loss 0.7891 | lr  0.001
Epoch  1 | Batch 210/1020 | Time/Batch(ms) 228.95 | Train Loss 0.7777 | lr  0.001
Epoch  1 | Batch 240/1020 | Time/Batch(ms) 227.53 | Train Loss 0.8713 | lr  0.001
Epoch  1 | Batch 270/1020 | Time/Batch(ms) 226.03 | Train Loss 0.8707 | lr  0.001
Epoch  1 | Batch 300/1020 | Time/Batch(ms) 227.54 | Train Loss 0.8534 | lr  0.001
Epoch  1 | Batch 330/1020 | Time/Batch(ms) 230.87 | Train Loss 0.8506 | lr  0.001
Epoch  1 | Batch 360/1020 | Time/Batch(ms) 224.76 | Train Loss 0.8408 | lr  0.001
Epoch  1 | Batch 390/1020 | Time/Batch(ms) 228.45 | Train Loss 0.8533 | lr  0.001
Epoch  1 | Batch 420/1020 | Time/Batch(ms) 230.54 | Train Loss 0.8113 | lr  0.001
Epoch  1 | Batch 450/1020 | Time/Batch(ms) 233.71 | Train Loss 0.8006 | lr  0.001
Epoch  1 | Batch 480/1020 | Time/Batch(ms) 229.64 | Train Loss 0.8194 | lr  0.001
Epoch  1 | Batch 510/1020 | Time/Batch(ms) 234.71 | Train Loss 0.8858 | lr  0.001
Epoch  1 | Batch 540/1020 | Time/Batch(ms) 226.87 | Train Loss 0.8083 | lr  0.001
Epoch  1 | Batch 570/1020 | Time/Batch(ms) 226.36 | Train Loss 0.8000 | lr  0.001
Epoch  1 | Batch 600/1020 | Time/Batch(ms) 230.72 | Train Loss 0.8527 | lr  0.001
Epoch  1 | Batch 630/1020 | Time/Batch(ms) 226.40 | Train Loss 0.7537 | lr  0.001
